WKT,name,description
"POINT (-82.5018903 35.5933928)",Blue Ridge,https://beatinpaths.com/2023/06/27/blue-ridge/
"POINT (-82.542723 35.6339975)",Electric Stitches,https://beatinpaths.com/2023/06/26/electric-stitches/
"POINT (-97.3846095 32.905438)",Big as Texas,https://beatinpaths.com/2023/03/01/big-as-texas/
"POINT (-122.4255642 37.757802)",Lacuna,https://beatinpaths.com/2023/02/12/lacuna/
"POINT (-122.3209238 37.800035)",grey rainy day in the bay,https://beatinpaths.com/2023/02/12/gray-rainy-day-in-the-bay/
"POINT (-118.3193304 34.0887869)",Liquefaction,https://beatinpaths.com/2022/11/08/liquefaction/
"POINT (-116.6790332 33.8144981)",san jacinto,https://beatinpaths.com/2022/11/08/san-jacinto/
"POINT (-103.5375052 47.1057161)",north dakota badlands
,https://beatinpaths.com/2022/10/16/north-dakota-badlands/
"POINT (-110.9081926 33.0589461)",A Star is Always,https://beatinpaths.com/2022/09/28/a-star-is-always/
"POINT (-106.3537347 39.1550467)",The Clouds and the Mountains,https://beatinpaths.com/2022/08/03/the-clouds-and-the-mountains/
"POINT (-106.6933176 40.5574621)",Leaving Rainbow,https://beatinpaths.com/2022/08/03/leaving-rainbow/
"POINT (-89.1598805 36.9832341)",cairo confluence,https://beatinpaths.com/2022/08/03/cairo-confluence/
"POINT (-118.6685285 36.5219855)",The Sequoias Speak,https://beatinpaths.com/2022/08/02/the-sequoias-speak/
"POINT (-66.1140937 18.4637071)",Isla del Encanto,https://beatinpaths.com/2022/06/07/isla-del-encanto/
"POINT (-112.9608976 37.251411)",Zion,https://beatinpaths.com/2022/01/13/zion-unfinished/
